iter	Logloss
0	0.6140026097
1	0.5436646785
2	0.490728635
3	0.4449446759
4	0.4070185079
5	0.375693427
6	0.3501792465
7	0.3287146934
8	0.3060414564
9	0.2869042955
10	0.2726662254
11	0.2578048631
12	0.2463954757
13	0.2372115092
14	0.2268015572
15	0.2193834685
16	0.2118463344
17	0.2058151376
18	0.1995262176
19	0.195607991
20	0.1919669685
21	0.1892883148
22	0.1862004686
23	0.1829686575
24	0.1792055008
25	0.1771852161
26	0.1753929218
27	0.1733828892
28	0.1715482032
29	0.1702650448
30	0.1691338863
31	0.1677454404
32	0.16657731
33	0.1655291345
34	0.1645079821
35	0.1634626492
36	0.1626804404
37	0.1621899893
38	0.1616475009
39	0.160831428
40	0.1605311615
41	0.1599978639
42	0.1594493494
43	0.1590838751
44	0.158690184
45	0.1581509834
46	0.157699712
47	0.1572843891
48	0.156769606
49	0.1566002288
50	0.1561439734
51	0.1559718011
52	0.1557386468
53	0.155388238
54	0.1551069881
55	0.1548837449
56	0.1546654287
57	0.1544951703
58	0.154313646
59	0.1540170558
60	0.1537930925
61	0.1536250228
62	0.1533839948
63	0.153292721
64	0.1530307529
65	0.1528938753
66	0.1527320688
67	0.1526208403
68	0.1525039932
69	0.1522912863
70	0.1520999078
71	0.1519639873
72	0.1518848511
73	0.1517704011
74	0.1515774972
75	0.1515016678
76	0.1513505208
77	0.1511578063
78	0.1510381546
79	0.1509442467
80	0.1508180476
81	0.1506811984
82	0.1505710597
83	0.1504154593
84	0.1503159895
85	0.1502211909
86	0.150136616
87	0.149999369
88	0.1498322942
89	0.1497374388
90	0.1496790342
91	0.149607137
92	0.1495273375
93	0.1494104904
94	0.1493124229
95	0.1492122993
96	0.1491016489
97	0.1490040552
98	0.1488624875
99	0.1488231941
100	0.1487771925
101	0.148664846
102	0.1486007373
103	0.1485478093
104	0.148457284
105	0.1483395273
106	0.1482942646
107	0.1481522705
108	0.1480148718
109	0.1479237686
110	0.1478190306
111	0.1477313005
112	0.1476111086
113	0.1474762777
114	0.1474053375
115	0.1472851362
116	0.1472105196
117	0.1471413228
118	0.1470677296
119	0.1469503234
120	0.1469245037
121	0.1468252708
122	0.1467243703
123	0.1466351241
124	0.1465656715
125	0.1464610378
126	0.1464116914
127	0.1463076925
128	0.1462449198
129	0.1462042147
130	0.1460443221
131	0.1459380018
132	0.1458706337
133	0.1458132903
134	0.1457670423
135	0.1456751526
136	0.1456066948
137	0.1455302212
138	0.14549161
139	0.1453952576
140	0.1453325228
141	0.1452691248
142	0.1451560203
143	0.1450191901
144	0.1449783808
145	0.1448880735
146	0.1448294983
147	0.1447328426
148	0.1446935398
149	0.1446242767
150	0.1445368972
151	0.1445036964
152	0.1444358924
153	0.1443747211
154	0.144337408
155	0.1442120807
156	0.1441377768
157	0.1440874734
158	0.1439695555
159	0.1438955549
160	0.1438053517
161	0.1437480368
162	0.143683009
163	0.1436264141
164	0.1434976378
